hydrophobicity_score	Recognition_score	self_sequence_similarity	EL_dissimilarity	EL_mt_rank	EL_wt_rank	EL_ht_rank	Pep_len	response
0.788962	6.95202428165e-09	0.829787234043	0.499999632245	0.0098	0.0067	0.0067	9	1
0.132821	9.08915585541e-07	0.854166666667	0.999851976286	0.2364	5.9282	5.9282	9	1
NA	9.05440602753e-07	0.885245901639	0.926489694962	0.1379	2.3519	2.3519	12	0
0.371282	0.509459970901	0.914893617021	0.500055024838	0.0071	0.2483	2.9858	9	0
NA	7.86751242611e-15	0.868421052632	0.858347653725	1.5457	2.426	2.426	8	0
0.32445	0.50001473858	0.93023255814	0.500000139725	0.0061	0.0073	0.0073	9	0
0.112153	0.992380228933	0.924528301887	0.994167732059	0.9723	24.3269	24.3269	10	0
0.494955	0.992380228959	0.843137254902	0.499859995014	0.6909	0.6477	0.6477	10	0
0.882942	5.89525296123e-05	0.927272727273	0.99988601145	0.1832	4.7497	0.4836	11	0
0.601116	0.00761977114736	0.905660377358	0.00818820065586	2.9593	3.4607	1.935	11	0
0.315055	3.60965491883e-09	0.909090909091	5.79576410988e-25	13.1615	12.5263	12.5263	11	0
0.962573	5.33780254657e-11	0.910714285714	0.0042082132771	3.0933	5.3377	5.3377	11	0
0.0504836	3.5031117781e-09	0.811320754717	0.0877194873323	2.4586	2.4704	2.4704	10	0
0.405776	0.998730050729	0.852459016393	0.499980169531	0.25	0.1924	0.1924	9	0
0.734374	0.00773767588386	0.913793103448	0.846965943845	1.6578	11.0831	1.7282	11	0
0.029263	5.98578342962e-05	0.903846153846	0.501051331009	0.8271	0.9392	0.9392	10	0
0.308891	0.0225729373236	0.851063829787	0.50008935742	0.1999	0.3791	0.3791	9	0
0.198131	4.73283136093e-15	0.883720930233	0.999905564589	0.1465	1.0812	10.8083	9	0
0.0549572	0.000119266250536	0.865384615385	0.499998458484	0.0258	0.0135	0.0135	10	0
0.776563	2.75141851669e-11	0.92	0.982372320221	1.1959	33.5333	33.5333	11	0
0.0254304	3.47600898115e-09	0.840909090909	0.997892746761	0.3096	3.1144	3.1144	10	0
0.681923	3.19546406556e-15	0.9	0.500065828419	0.1307	0.3147	0.1052	9	0
0.635768	3.47601212977e-09	0.844444444444	0.506123352095	0.042	1.1229	1.1229	9	0
0.751236	3.47622197486e-09	0.830508474576	0.500098917302	0.1538	0.3749	0.3749	11	0
0.696701	3.5031086317e-09	0.865384615385	0.00515048807189	3.0527	17.0927	17.0927	11	0
0.529213	0.999941047525	0.938775510204	0.00561041670322	3.0355	4.3449	4.3449	9	0
0.823797	1.0	0.955882352941	1.49649741879e-25	13.4323	5.9425	5.9425	11	0
0.164979	5.89594255822e-05	0.916666666667	0.537018321811	1.2236	1.5519	1.5519	9	0
0.406655	0.999941047525	0.816326530612	0.39150126921	1.7529	1.093	15.3952	9	0
0.818134	0.997453758402	0.844827586207	0.500078100186	0.477	0.5322	1.9769	9	0
0.7582	0.500000114908	0.91935483871	4.46080474e-45	22.4242	27.0	27.0	11	0
0.398069	8.15022358635e-11	0.941176470588	0.576865135203	1.7033	1.9317	1.9317	9	0
0.669974	0.00761977451723	0.833333333333	1.13307930178e-14	8.3425	1.8694	0.298	11	0
0.164834	2.27729947255e-06	0.803921568627	0.500064392627	0.4725	0.2125	0.52	9	0
0.440001	0.501912229869	0.888888888889	0.500004326931	0.0223	0.0538	0.0538	9	0
0.544232	0.000236220694805	0.859649122807	3.80991244638e-13	7.7192	11.2286	11.2286	11	0
0.250373	3.47622337952e-09	0.84	0.997205082835	0.8241	4.2486	4.2486	10	0
0.42812	0.992380235752	0.865384615385	0.999939025876	0.059	11.7336	0.4055	9	0
0.643863	6.17953737753e-13	0.886363636364	0.000697367789692	3.4535	7.9162	7.9162	9	0
0.275878	0.500000003483	0.882352941176	0.039312872299	2.6235	2.3545	2.3545	9	0
0.0895382	0.0299114670804	0.859375	7.28400370935e-08	5.287	7.7981	78.3333	10	0
0.731234	2.49146075646e-17	0.906976744186	1.10638174187e-07	5.2034	4.7472	4.7472	9	0
0.121942	0.00762066615912	0.785714285714	0.414306414875	1.9627	2.013	2.013	10	0
0.559268	3.5033151121e-09	0.911111111111	0.49993527543	0.6689	0.6479	0.6479	9	0
0.64773	0.998095085091	0.838709677419	2.29935195572e-25	13.3464	62.1429	62.1429	11	0
0.913576	0.00767872701768	0.88679245283	0.785758583022	1.7201	2.6317	2.6317	11	0
0.0901244	0.992380235752	0.872727272727	0.999795349042	0.3012	24.8039	38.5	10	0
0.802437	0.500000000027	0.847826086957	2.788310963e-11	6.8606	14.6225	14.6225	9	0
0.0607661	3.22064908326e-15	0.897959183673	0.989584235723	1.0892	4.8231	4.8231	10	0
0.044476	0.999980400497	0.877192982456	9.1142062149e-05	3.8606	61.4286	1.8586	10	0
0.515809	0.00761977114736	0.935483870968	1.47410760011e-30	15.7379	16.0365	16.0365	11	0
0.562461	0.999970522901	0.866666666667	0.928773472769	1.4864	5.3111	1.4028	9	0
0.934158	5.89562981196e-05	0.950819672131	5.0747455965e-15	8.5829	6.9647	6.9647	11	0
0.487388	4.56156181139e-07	0.795918367347	0.50000011545	0.0783	0.079	0.079	9	1
0.23726	0.0076197780458	0.857142857143	0.999877771979	0.1981	24.0	0.2855	9	0
0.974377	0.00767782866172	0.881355932203	2.83671995923e-37	18.8306	14.043	14.043	11	0
0.997408	3.53062126638e-09	0.945454545455	6.27994666685e-16	9.0008	25.6829	25.6829	11	0
0.231227	1.70781743114e-15	0.866666666667	0.577971258616	0.6291	1.6641	0.827	9	0
0.911564	0.000118354262513	0.903225806452	1.47012921849e-57	28.1724	38.2	38.2	11	0
0.989213	6.97851224822e-09	0.943396226415	2.41744795058e-26	13.7969	10.676	10.676	11	0
0.874013	0.500029589407	0.87037037037	0.00114133739401	3.3548	3.4201	3.4201	11	0
0.50176	0.999941047606	0.885714285714	0.981773635681	1.2027	5.0006	6.1801	11	0
0.604638	0.999999999973	0.826923076923	0.00301011805467	3.0483	1.6428	1.6428	9	0
0.937273	0.0511677584005	0.933333333333	0.00135716395232	3.3202	17.2848	5.5535	11	0
0.776251	7.08690760317e-09	0.948275862069	0.500267207342	0.6378	0.7173	0.7173	10	0
0.140136	4.5965886571e-07	0.888888888889	0.499998963766	0.1303	0.1255	0.1255	9	0
0.767233	0.999999999987	0.946428571429	3.11226553602e-10	6.3781	6.1576	6.1576	11	0
0.972702	0.666673218373	0.948275862069	4.18902368829e-29	15.0685	14.1722	14.1722	11	0
0.995304	0.500000228085	0.94	1.21100014087e-17	9.7905	9.5209	9.5209	11	0
0.605913	4.63161778704e-07	0.885245901639	2.85623924772e-06	4.5532	4.4971	4.4971	11	0
0.563091	5.35844697054e-11	0.866666666667	0.946726985191	0.099	2.4256	2.5622	9	0
0.718718	0.500000000869	0.938775510204	0.500179525696	0.1789	0.4676	0.4676	9	1
0.942544	0.992380228932	0.87037037037	0.787586019026	0.7663	2.0633	2.0633	10	0
0.919472	0.00762202764563	0.939393939394	0.00011505329986	3.814	6.9425	6.9425	11	0
0.0164937	3.47683653788e-09	0.911111111111	0.500837222903	0.69	0.8458	0.8458	10	0
0.217453	4.56155763446e-07	0.833333333333	0.499972690202	0.1921	0.0687	0.0687	9	0
0.158075	4.63108604123e-07	0.921568627451	0.999943485391	0.0436	5.1904	5.1904	9	0
0.0893644	1.04276186431e-08	0.913043478261	0.999626044602	0.4218	7.6665	7.6665	9	1
0.723621	1.0	0.953846153846	0.499933241433	0.3654	0.2372	0.2372	11	0
0.973483	0.99999954732	0.915492957746	3.87401454072e-06	4.4921	3.3097	3.3097	11	0
0.753446	1.25160636006e-12	0.789473684211	0.496092018994	1.0425	0.4598	0.4598	10	0
0.971153	7.08628507174e-09	0.949152542373	0.499043359882	0.9011	0.7755	0.7755	11	0
0.389622	0.000117918902886	0.896551724138	0.428695681208	1.6697	1.2393	1.2393	10	0
0.148341	0.0001781942135	1.0	0.0213094213983	2.7632	2.7632	2.7632	10	0
0.958602	0.000179558771292	1.0	0.223070986072	2.2136	2.2136	2.2136	11	0
0.514749	1.0	0.924528301887	0.00113291164027	3.2758	1.8652	1.8652	9	0
0.617096	0.500000001765	0.851063829787	0.967073721612	0.4035	4.7602	2.5326	9	0
0.98581	2.77255090749e-11	0.928571428571	0.00306795487733	3.1564	3.1403	3.1332	11	0
0.411722	0.022628825898	0.941176470588	0.499991164472	0.2713	0.2502	0.2502	10	0
0.0603901	4.5270705895e-07	0.882352941176	1.77834067801e-08	5.569	10.5653	10.5653	10	0
0.785781	0.000117901501074	0.903846153846	0.499734123708	0.7166	0.6379	0.6379	10	0
0.0846841	3.50454944551e-09	0.9375	0.478041379844	1.3873	0.5623	0.5623	10	0
0.637942	2.44119346298e-08	0.783333333333	4.22954840793e-07	4.9352	8.9275	8.9275	11	0
0.989392	0.999941047579	0.962962962963	0.873152398314	1.4922	2.4065	2.4065	11	0
0.49638	0.0152962727547	0.857142857143	0.999674395029	0.3941	12.2688	0.4502	9	0
0.148273	5.8969879263e-05	0.875	0.49999983485	0.0071	0.0057	0.0057	9	0
0.0578159	4.56156181139e-07	0.814814814815	0.500970387382	0.3145	0.7729	0.7729	10	0
0.946972	5.94085769775e-05	0.87037037037	0.499907945554	0.476	0.3819	0.3819	11	0
0.724488	1.053417115e-08	0.928571428571	8.24218779945e-09	5.7228	5.538	5.538	11	0
0.961405	5.8955976665e-05	0.875	0.50037569828	0.5585	0.6989	0.6989	11	0
0.0751886	4.09936245407e-13	0.87037037037	0.482212524974	1.8519	1.939	1.939	10	0
0.85851	0.992381127315	0.920634920635	4.0576145237e-07	4.9435	8.0384	8.0384	11	0
0.0888163	3.50290367586e-09	0.814814814815	3.60252592101e-05	3.9601	1.8306	1.8306	10	0
0.0026439	4.52679964068e-07	0.833333333333	1.33918690723e-06	4.6625	2.0976	2.0976	10	0
0.0222976	5.8952555875e-05	0.881355932203	0.467907878853	1.468	0.6672	0.6672	10	0
0.223302	0.999970523769	0.927272727273	0.999869172492	0.2117	10.9265	10.9265	10	0
0.976748	0.999941047526	0.913793103448	0.59058768872	1.8011	2.0963	2.0963	11	0
0.0081398	5.89525014756e-05	0.916666666667	0.997856730718	0.7704	4.162	4.162	10	0
0.304581	1.04816145225e-08	0.9	0.498853956543	0.8493	0.5913	0.5913	10	0
0.934424	8.00693853105e-11	0.872727272727	0.922953353985	0.9322	2.3545	2.3545	11	0
0.77457	3.4766285084e-09	0.92	0.499526905512	0.9893	0.9581	0.9581	11	0
